service,service-url,formerly,details,type,type-slug,category,category-slug,available,kiosk-friendly,kiosk-only,print-required,osssio,franchise
Fill in a marriage certificate application form,http://www.qld.gov.au/law/births-deaths-marriages-and-divorces/birth-death-and-marriage-certificates/marriage-certificates/fill-in-a-marriage-certificate-application-form/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Fill in a note a change of name in a birth or adoption register application form,http://www.qld.gov.au/law/births-deaths-marriages-and-divorces/changing-your-name/note-a-change-of-name-in-a-birth-or-adoption-register/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Fill in a register a relationship application form,http://www.qld.gov.au/law/births-deaths-marriages-and-divorces/marriage-weddings-and-registered-relationships/registered-relationships/download-a-register-a-relationship-application/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Fill in a register a relationship withdrawal application form,http://www.qld.gov.au/law/births-deaths-marriages-and-divorces/marriage-weddings-and-registered-relationships/registered-relationships/withdraw-your-application-to-register-a-relationship/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Fill in an add the father to your child's birth registration application form,http://www.qld.gov.au/law/births-deaths-marriages-and-divorces/birth-registration-and-adoption-records/download-an-application-to-add-the-father-to-your-childs-birth-registration/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Fill in an end a registered relationship application form,http://www.qld.gov.au/law/births-deaths-marriages-and-divorces/marriage-weddings-and-registered-relationships/registered-relationships/download-an-application-to-end-a-registered-relationship/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Fill in an end a registered relationship withdrawal application form,http://www.qld.gov.au/law/births-deaths-marriages-and-divorces/marriage-weddings-and-registered-relationships/registered-relationships/withdraw-your-application-to-end-your-registered-relationship/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Fill in note a change of sex in a birth or adoption register application form,http://www.qld.gov.au/law/births-deaths-marriages-and-divorces/birth-registration-and-adoption-records/download-note-a-change-of-sex-in-a-birth-or-adoption-register/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Search and pay for historical birth records,https://www.bdm.qld.gov.au/IndexSearch/queryEntry.m?type=births,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,no,
Search and pay for historical death records,https://www.bdm.qld.gov.au/IndexSearch/queryEntry.m?type=deaths,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,no,
Search and pay for historical marriage records,https://www.bdm.qld.gov.au/IndexSearch/queryEntry.m?type=marriages,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,no,
Apply for an adjudication for a body corporate dispute,https://www.qld.gov.au/law/housing-and-neighbours/body-corporate/body-corporate-disputes/types-of-dispute-resolution/adjudication-for-body-corporate-disputes/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Apply for conciliation for a body corporate dispute,https://www.qld.gov.au/law/housing-and-neighbours/body-corporate/body-corporate-disputes/types-of-dispute-resolution/conciliation-for-body-corporate-disputes/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Pay for body corporate dispute resolution,http://www.qld.gov.au/law/housing-and-neighbours/body-corporate/body-corporate-disputes/types-of-dispute-resolution/body-corporate-dispute-resolution-payments/,,,Pay it,pay-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Search of adjudicators' orders (body corporate),http://www.qld.gov.au/law/housing-and-neighbours/search-of-adjudicators-orders/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Lodge an annual return for a registered charity,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/associations-charities-and-non-for-profits/charities-and-fundraising/running-an-appeal-for-fundraising-support/reporting-requirements-for-charities-and-fundraising/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Order a replacement certificate for a registered charity,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/associations-charities-and-non-for-profits/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Request an extract for a registered charity,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/associations-charities-and-non-for-profits/charities-and-fundraising/request-information-about-a-charity/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Search for a registered charity,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/associations-charities-and-non-for-profits/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Lodge a complaint with the Office of Fair Trading,http://www.fairtrading.qld.gov.au/lodge-your-complaint,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Order a replacement certificate for a registered cooperative,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/associations-charities-and-non-for-profits/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Renew a subagent registration,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/regulated-industries-and-licensing/regulated-industries-licensing-and-legislation/debt-collecting-and-process-serving-industry-regulation/update-change-or-renew-a-debt-collecting-and-process-serving-licence/renew-or-restore-your-field-agent-licence/,,,Pay it,pay-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Replace a debt collector field agent licence,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/regulated-industries-and-licensing/regulated-industries-licensing-and-legislation/debt-collecting-and-process-serving-industry-regulation/update-change-or-renew-a-debt-collecting-and-process-serving-licence/replace-your-field-agent-licence/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Request an extract of a debt collector field agent licence,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/regulated-industries-and-licensing/regulated-industries-licensing-and-legislation/debt-collecting-and-process-serving-industry-regulation/check-a-commercial-agent-licence/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Apply for mediation,http://www.qld.gov.au/law/legal-mediation-and-justice-of-the-peace/setting-disputes-out-of-court/mediation/apply-for-mediation/ ,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Dispute resolution re-accreditation,https://www.qld.gov.au/law/legal-mediation-and-justice-of-the-peace/training-in-dispute-resolution/national-mediator-re-accreditation/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Register for dispute resolution training,http://www.qld.gov.au/law/legal-mediation-and-justice-of-the-peace/training-in-dispute-resolution/register-for-dispute-resolution-training/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,no,
Refund for bought Queensland historical images or certificates,https://www.qld.gov.au/law/births-deaths-marriages-and-divorces/family-history-research/refund-request/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,no,
Replace an inbound tour operator licence,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/regulated-industries-and-licensing/regulated-industries-licensing-and-legislation/travel-industry-and-inbound-tour-operators-regulation/inbound-tour-operators-working-in-queensland/update-or-renew-your-inbound-tour-operator-registration/replace-your-registration-certificate/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Request an extract for an inbound tour operator registration,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/regulated-industries-and-licensing/regulated-industries-licensing-and-legislation/travel-industry-and-inbound-tour-operators-regulation/inbound-tour-operators-working-in-queensland/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Apply to become JP OR CDEC,https://www.qld.gov.au/law/legal-mediation-and-justice-of-the-peace/jp-and-cdec-information/how-to-become-a-jp-or-cdec/apply-to-become-a-jp-or-cdec ,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Buy your JP and Cdec products online,https://www.qld.gov.au/law/legal-mediation-and-justice-of-the-peace/jp-and-cdec-information/buy-your-jp-and-cdec-products-online/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
List your contact details on the after hours register,https://www.qld.gov.au/law/legal-mediation-and-justice-of-the-peace/jp-and-cdec-information/update-your-jp-or-cdec-details/list-your-contact-details/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Resign as  Justice of the Peace or Commissioner of Declarations,http://www.qld.gov.au/law/legal-mediation-and-justice-of-the-peace/jp-and-cdec-information/resign-as-a-jp-or-cdec/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Update your JP or Cdec details - change of name,https://www.qld.gov.au/law/legal-mediation-and-justice-of-the-peace/jp-and-cdec-information/update-your-jp-or-cdec-details/change-of-name/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Apply for financial help to attend a crime and corruption commission hearing,http://www.qld.gov.au/law/legal-mediation-and-justice-of-the-peace/legal-advice-and-investment/apply-for-financial-help-to-attend-a-crime-and-corruption-commission-hearing/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Renew or restore a motor dealer licence,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/regulated-industries-and-licensing/regulated-industries-licensing-and-legislation/motor-industry-regulation/update-change-renew-a-motor-industry-licence/renew-or-restore-your-motor-industry-licence/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Replace a motor dealer licence,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/regulated-industries-and-licensing/regulated-industries-licensing-and-legislation/motor-industry-regulation/update-change-renew-a-motor-industry-licence/replace-your-motor-industry-licence/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Request an extract for a motor dealer licence,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/regulated-industries-and-licensing/regulated-industries-licensing-and-legislation/motor-industry-regulation/check-a-motor-licence/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Renew or restore a real estate salesperson certificate,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/regulated-industries-and-licensing/regulated-industries-licensing-and-legislation/property-industry-regulation/update-change-or-renew-a-property-licence/renew-or-restore-your-property-licence/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Replace a real estate salesperson certificate,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/regulated-industries-and-licensing/regulated-industries-licensing-and-legislation/property-industry-regulation/update-change-or-renew-a-property-licence/replace-your-property-licence/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Replace an auctioneer (real property) licence ,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/regulated-industries-and-licensing/regulated-industries-licensing-and-legislation/auction-industry-regulation/update-change-or-renew-an-auctioneer-or-chattel-auctioneer-licence/replace-your-auctioneer-or-chattel-auctioneer-licence/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Request an extract of a real estate salesperson certificate,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/regulated-industries-and-licensing/regulated-industries-licensing-and-legislation/property-industry-regulation/check-a-property-licence/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Request an extract of an auctioneer (real property) licence ,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/regulated-industries-and-licensing/regulated-industries-licensing-and-legislation/auction-industry-regulation/check-an-auctioneer-or-chattel-auctioneer-licence/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Change your contact details with the Queensland Civil and Administrative Tribunal (QCAT),http://www.qld.gov.au/law/court/queensland-civil-and-administrative-tribunal/change-of-contact-details/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Request reasons for a Queensland Civil and Administrative Tribunal (QCAT) decision,http://www.qld.gov.au/law/court/queensland-civil-and-administrative-tribunal/request-for-reasons/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Start a minor debt disputes at the Queensland Civil and Administrative Tribunal (QCAT),http://www.qld.gov.au/law/court/queensland-civil-and-administrative-tribunal/resolve-disputes-at-qcat/minor-civil-disputes/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Search and copy Queensland Civil and Administrative Tribunal (QCAT) documents,http://www.qld.gov.au/law/court/queensland-civil-and-administrative-tribunal/access-qcat-records-files-and-services/search-and-copy-qcat-documents/apply-to-search-and-copy-qcat-documents/,,,Find it,find-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Submit an application or referral for a disciplinary proceeding to the Queensland Civil and Administrative Tribunal (QCAT),http://www.qld.gov.au/law/court/queensland-civil-and-administrative-tribunal/occupational-regulation/disciplinary-proceeding/complete-the-application/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,Yes,no,Yes,yes,
Withdraw your application at the Queensland Civil and Administrative Tribunal (QCAT),https://www.qld.gov.au/law/court/queensland-civil-and-administrative-tribunal/resolve-disputes-at-qcat/notice-of-withdrawal/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Apply for an adjournment,http://www.qld.gov.au/law/court/court-services/applying-for-an-adjournment/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,court
Apply to issue a subpoena,http://www.qld.gov.au/law/court/court-services/apply-to-issue-a-subpoena/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,court
Book a meeting with registry staff,http://www.qld.gov.au/law/court/going-to-court/help-with-representing-yourself-in-court/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,court
Complete the Statement of Financial Position,http://www.qld.gov.au/law/court/court-services/complete-the-statement-of-financial-position-form/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,court
Complete your enforcement officer report,https://www.qld.gov.au/law/court/court-services/enforce-a-court-order-and-disputes-about-money/enforcement-officer-report/complete-your-enforcement-officer-report/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,court
Give feedback about courthouse facilities,http://www.qld.gov.au/law/court/going-to-court/give-feedback-on-courtroom-services/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,court
Nominate a mover for your admission as part of your application to become a legal practitioner,http://www.qld.gov.au/law/court/court-services/nominate-your-mover/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,court
Search and copy documents for civil cases,http://www.qld.gov.au/law/court/court-services/apply-to-search-and-copy-court-documents/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,court
Search and copy documents for criminal cases ,http://www.qld.gov.au/law/court/court-services/search-and-copy-criminal/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,court
Search and copy Magistrates Court documents,http://www.qld.gov.au/law/court/court-services/apply-to-search-and-copy-magistrates-courts-documents/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,court
Submit your guilty plea online,http://www.qld.gov.au/law/court/going-to-court/submit-your-guilty-plea/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,court
Book a courtroom,http://www.qld.gov.au/law/court/court-services/request-a-courtroom-booking/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,court
Complete the prospective juror questionnaire,http://www.qld.gov.au/law/court/jury-duty/prospective-juror-questionnaire/,,,Find it,find-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,court
Replace second-hand dealer and pawnbroker licences,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/regulated-industries-and-licensing/regulated-industries-licensing-and-legislation/second-hand-dealing-and-pawnbroking-industry-regulation/update-change-renew-a-second-hand-dealing-or-pawnbroking-licence/replace-your-second-hand-dealer-or-pawnbroker-licence/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Request an extract for second-hand dealer and pawnbroker licences,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/regulated-industries-and-licensing/regulated-industries-licensing-and-legislation/second-hand-dealing-and-pawnbroking-industry-regulation/check-a-second-hand-dealer-or-pawnbroker-licence/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Replace a security provider licence,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/regulated-industries-and-licensing/regulated-industries-licensing-and-legislation/security-industry-regulation/update-change-renew-a-security-licence/replace-your-security-licence/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Request an extract for a security provider licence,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/regulated-industries-and-licensing/regulated-industries-licensing-and-legislation/security-industry-regulation/check-a-security-licence/,,,Buy it,buy-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Apply for an extension to pay a civil penalty notice with the Office of Fair Trading,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/fair-trading-services-programs-and-resources/office-of-fair-trading-forms/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,no,no,no,yes,
Pay a fine with the Office of Fair Trading,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/fair-trading-services-programs-and-resources/office-of-fair-trading-forms/,,,Pay it,pay-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,no,no,no,yes,
Pay an invoice with the Office of Fair Trading,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/queensland-laws-and-regulations/fair-trading-services-programs-and-resources/office-of-fair-trading-forms/,,,Pay it,pay-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,no,no,no,yes,
Refer a young person (aged 10 to 16 years) and their family for youth and family support,http://www.qld.gov.au/law/sentencing-prisons-and-probation/young-offenders-and-the-justice-system/youth-justice-community-programs-and-services/Youth-and-support-service-referral/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Youth Justice data request form,http://www.qld.gov.au/law/sentencing-prisons-and-probation/young-offenders-and-the-justice-system/youth-justice-information-for-professionals/youth-justice-research/data-request-form/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Lodge appeal against the Valuer-General's decision on objection,http://www.qld.gov.au/law/court/court-services/appeal-valuer-generals-decision/lodge-appeal/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,no,no,no,yes,court
Book a group camping permit,http://www.qld.gov.au/recreation/activities/camping/bookings/,,,Apply for it,apply-for-it,"Recreation, sport and arts",recreation-sports-and-arts,yes,yes,no,yes,yes,
Cancel camping permits for groups,http://www.qld.gov.au/recreation/activities/camping/bookings/,,,Report it,report-it,"Recreation, sport and arts",recreation-sports-and-arts,yes,yes,no,yes,yes,
Book a camping permit for an individual ,http://www.qld.gov.au/recreation/activities/camping/bookings/,,,Apply for it,apply-for-it,"Recreation, sport and arts",recreation-sports-and-arts,yes,yes,no,no,yes,
Cancel a camping permit for an individual,http://www.qld.gov.au/recreation/activities/camping/bookings/,,,Report it,report-it,"Recreation, sport and arts",recreation-sports-and-arts,yes,yes,no,yes,yes,
Update your online details and camp booking,http://www.qld.gov.au/recreation/activities/camping/bookings/#changes,,,Apply for it,apply-for-it,"Recreation, sport and arts",recreation-sports-and-arts,yes,yes,no,yes,yes,
Apply for a Commercial Activity Permit,http://www.business.qld.gov.au/industry/tourism/parks-recreation-forests/commercial-activity-permit/complying,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Apply for a Filming and Photography Quarterly Return of Operations,https://www.business.qld.gov.au/industry/tourism/parks-recreation-forests/filming-photography,,,Report it,report-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Apply for a Tour Operators Quarterly Return of Operations ,http://www.business.qld.gov.au/industry/tourism/parks-recreation-forests/commercial-activity-permit/complying,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Renew your Commercial Activity Permit,http://www.business.qld.gov.au/industry/tourism/parks-recreation-forests/commercial-activity-permit/renewing,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Book into a sport and recreation workshop or forum,http://www.qld.gov.au/recreation/sports/volunteers-coaches/workshops/,,,Apply for it,apply-for-it,"Recreation, sport and arts",recreation-sports-and-arts,yes,yes,no,yes,no,
Apply for a permit to drive in national parks and on beaches,http://www.qld.gov.au/recreation/activities/areas-facilities/permits/vehicle/,,,Apply for it,apply-for-it,"Recreation, sport and arts",recreation-sports-and-arts,yes,yes,no,yes,no,
Update your permits to drive in national parks and beaches ,http://www.qld.gov.au/recreation/activities/areas-facilities/permits/vehicle/,,,Apply for it,apply-for-it,"Recreation, sport and arts",recreation-sports-and-arts,yes,yes,no,yes,no,
Apply for a fee exemption on a vehicle access permit (VAP),http://www.qld.gov.au/recreation/activities/areas-facilities/permits/vehicle/#Exemption,,,Apply for it,apply-for-it,"Recreation, sport and arts",recreation-sports-and-arts,yes,yes,no,yes,no,
Apply for sports and recreation grants and funds,http://www.qld.gov.au/recreation/sports/funding/,,,Apply for it,apply-for-it,"Recreation, sport and arts",recreation-sports-and-arts,yes,yes,no,yes,yes,
Request to receive land valuation notices by email,http://www.qld.gov.au/environment/land/title/valuation/change-details/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,no,no,no,no,
Object to a statutory land valuation,https://www.qld.gov.au/environment/land/title/valuation/online-objections/,,,Apply for it,apply-for-it,Homes and housing,homes-and-housing,yes,no,no,no,yes,
Notify Government of a fireworks display before an event,https://www.business.qld.gov.au/industry/explosives-fireworks/licensing-other-requirements/fireworks-licensing-handling/safe-use,,,Report it,report-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Notify Government of the outcome of a fireworks display,https://www.business.qld.gov.au/industry/explosives-fireworks/licensing-other-requirements/fireworks-licensing-handling/safe-use,,,Report it,report-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Notify the Explosives Directorate about importing explosives,https://www.business.qld.gov.au/industry/explosives-fireworks/licensing-other-requirements/importing-exporting-explosives/obligations,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Pay the safety and health levy,https://www.business.qld.gov.au/industry/mining/safety-health/mining-safety-health/safety-health-levy-census,,,Pay it,pay-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Notify the Explosives Directorate about exporting  explosives,https://www.business.qld.gov.au/industry/mining/applications-compliance/lodging-statutory-reports/explosives-fireworks-reporting/import-export-trial-storage,,,Report it,report-it,Business and industry,business-and-industry,yes,no,no,no,yes,
Request to store explosives at a government magazine,https://www.business.qld.gov.au/industry/mining/applications-compliance/lodging-statutory-reports/explosives-fireworks-reporting/import-export-trial-storage,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,no,no,no,yes,
Apply for a fossicking camping permit,http://www.qld.gov.au/recreation/activities/fossicking/licences-permits/camping/,,,Apply for it,apply-for-it,"Recreation, sport and arts",recreation-sports-and-arts,yes,yes,no,no,yes,
Apply for a fossicking permit,http://www.qld.gov.au/recreation/activities/fossicking/licences-permits/,,,Apply for it,apply-for-it,"Recreation, sport and arts",recreation-sports-and-arts,yes,yes,no,no,yes,
Create topographic maps,https://www.business.qld.gov.au/business/support-tools-grants/services/mapping-data-imagery/maps/topographic-maps,,,Find it,find-it,Business and industry,business-and-industry,yes,yes,no,no,yes,
Download historical Queensland maps and plans,https://data.qld.gov.au/dataset/historical-cadastral-map-seriesqueensland,,,Find it,find-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Download Queensland state electoral maps,https://data.qld.gov.au/dataset/state-electoral-boundaries-queensland,,,Find it,find-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Abandon a mineral resources or petroleum and gas application ,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Agreement to coordinate petroleum activities ,https://www.business.qld.gov.au/industry/mining/applications-compliance/forms-fees,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply for a mineral development licence,https://www.business.qld.gov.au/industry/mining/applications-compliance/forms-fees,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply for a mining claim,https://www.business.qld.gov.au/industry/mining/applications-compliance/forms-fees,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply for a mining lease,https://www.business.qld.gov.au/industry/mining/applications-compliance/forms-fees,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply for a petroleum lease,https://www.business.qld.gov.au/industry/mining/applications-compliance/forms-fees,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply for a petroleum pipeline licence (Part 5 permission) ,https://www.business.qld.gov.au/industry/mining/mining-online-services/myminesonline,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply for a potential greenhouse gas storage commercial area (PSA),https://www.business.qld.gov.au/industry/mining/applications-compliance/forms-fees,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
